iter	Passed	Remaining
775	48819	14092
776	48874	14027
777	48945	13966
778	49063	13919
779	49124	13855
780	49186	13792
781	49236	13725
782	49290	13660
783	49310	13585
784	49329	13510
785	49347	13435
786	49359	13359
787	49372	13282
788	49391	13208
789	49412	13135
790	49435	13061
791	49456	12988
792	49477	12915
793	49498	12842
794	49521	12769
795	49543	12696
796	49562	12623
797	49587	12552
798	49644	12488
799	49701	12425
800	49742	12357
801	49805	12296
802	49863	12233
803	49916	12168
804	49984	12108
805	50032	12042
806	50076	11976
807	50125	11910
808	50171	11845
809	50245	11786
810	50300	11722
811	50370	11662
812	50426	11598
813	50498	11538
814	50564	11477
815	50627	11416
816	50682	11352
817	50728	11286
818	50798	11226
819	50857	11163
820	50928	11103
821	51028	11049
822	51111	10992
823	51170	10929
824	51236	10868
825	51316	10809
826	51365	10745
827	51423	10682
828	51470	10616
829	51521	10552
830	51575	10488
831	51616	10422
832	51652	10355
833	51700	10290
834	51757	10227
835	51807	10163
836	51859	10099
837	51905	10034
838	51961	9971
839	52007	9906
840	52060	9842
841	52127	9781
842	52266	9734
843	52365	9678
844	52452	9621
845	52559	9567
846	52810	9539
847	52905	9483
848	53023	9430
849	53108	9372
850	53256	9324
851	53335	9264
852	53407	9203
853	53466	9140
854	53523	9077
855	53582	9013
856	53651	8952
857	53719	8890
858	53797	8830
859	53875	8770
860	53955	8710
861	53998	8644
862	54046	8579
863	54136	8521
864	54185	8456
865	54233	8391
866	54286	8327
867	54317	8260
868	54377	8197
869	54421	8131
870	54503	8072
871	54570	8010
872	54627	7946
873	54672	7881
874	54747	7821
875	54812	7758
876	54888	7698
877	54934	7633
878	54980	7568
879	55040	7505
880	55094	7441
881	55143	7377
882	55196	7313
883	55244	7249
884	55304	7186
885	55364	7123
886	55428	7061
887	55488	6998
888	55546	6935
889	55600	6871
890	55651	6808
891	55702	6744
892	55744	6679
893	55795	6615
894	55850	6552
895	55903	6488
896	55973	6427
897	56011	6362
898	56055	6297
899	56072	6230
900	56093	6163
901	56109	6096
902	56130	6029
903	56148	5962
904	56162	5895
905	56187	5829
906	56229	5765
907	56273	5701
908	56299	5636
909	56322	5570
910	56339	5504
911	56353	5437
912	56372	5371
913	56387	5305
914	56409	5240
915	56431	5174
916	56447	5109
917	56464	5043
918	56479	4978
919	56494	4912
920	56510	4847
921	56526	4782
922	56542	4716
923	56556	4651
924	56572	4586
925	56588	4522
926	56602	4457
927	56619	4392
928	56638	4328
929	56658	4264
930	56677	4200
931	56695	4136
932	56714	4072
933	56733	4008
934	56755	3945
935	56772	3881
936	56789	3818
937	56806	3754
938	56823	3691
939	56839	3628
940	56855	3564
941	56870	3501
942	56884	3438
943	56898	3375
944	56915	3312
945	56930	3249
946	56946	3187
947	56960	3124
948	56976	3061
949	56989	2999
950	57004	2937
951	57018	2874
952	57031	2812
953	57046	2750
954	57060	2688
955	57075	2626
956	57087	2565
957	57103	2503
958	57122	2442
959	57137	2380
960	57152	2319
961	57166	2258
962	57183	2197
963	57195	2135
964	57214	2075
965	57230	2014
966	57242	1953
967	57254	1892
968	57267	1832
969	57281	1771
970	57294	1711
971	57307	1650
972	57328	1590
973	57340	1530
974	57352	1470
975	57365	1410
976	57378	1350
977	57389	1290
978	57402	1231
979	57412	1171
980	57429	1112
981	57443	1052
982	57456	993
983	57466	934
984	57477	875
985	57488	816
986	57507	757
987	57521	698
988	57533	639
989	57544	581
990	57556	522
991	57567	464
992	57578	405
993	57590	347
994	57601	289
995	57612	231
996	57624	173
997	57639	115
998	57655	57
999	57667	0
99	57280	0

