iter	Passed	Remaining
648	40189	21735
649	40241	21668
650	40306	21608
651	40361	21542
652	40415	21476
653	40480	21416
654	40536	21351
655	40586	21282
656	40639	21216
657	40711	21159
658	40787	21105
659	40856	21047
660	40912	20982
661	40973	20920
662	41022	20851
663	41079	20787
664	41129	20719
665	41177	20650
666	41232	20585
667	41296	20524
66668	36704	18160
669	36772	18111
670	36833	18059
671	36896	18009
672	36955	17956
673	37012	17902
674	37067	17847
675	37124	17793
676	37179	17738
677	37235	17684
678	37306	17636
679	37371	17586
680	37424	17530
681	37478	17475
682	37530	17419
683	37602	17371
684	37676	17325
685	37739	17274
686	37801	17222
687	37855	17167
688	37907	17110
689	37958	17053
690	38023	17003
691	38089	16953
692	38146	16899
693	38187	16837
694	38231	16777
695	38280	16720
696	38343	16668
697	38403	16615
698	38494	16576
699	38549	16521
700	38608	16468
701	38652	16407
702	38706	16352
703	38761	16297
704	38878	16268
705	39124	16292
706	39196	16243
707	39357	16232
708	39433	16185
709	39515	16139
710	39586	16090
711	39664	16043
712	39754	16002
713	39810	15946
714	39873	15893
715	39927	15837
716	39998	15787
717	40056	15732
718	40105	15674
719	40157	15616
720	40214	15561
721	40282	15510
722	40331	15451
723	40381	15393
724	40440	15339
725	40485	15279
726	40537	15222
727	40595	15167
728	40651	15111
729	40703	15054
730	40833	15026
731	40906	14976
732	40983	14928
733	41054	14878
734	41124	14827
735	41198	14777
736	41278	14730
737	41337	14675
738	41435	14634
739	41509	14584
740	41582	14534
741	41636	14477
742	41691	14420
743	41761	14369
744	41833	14318
745	41930	14276
746	41987	14220
747	42039	14162
748	42109	14111
749	42176	14058
750	42223	13999
751	42282	13944
752	42365	13896
753	42456	13851
754	42519	13797
755	42591	13746
756	42664	13695
757	42737	13644
758	42806	13592
759	42869	13537
760	42926	13481
761	42985	13425
762	43058	13374
763	43162	13333
764	43229	13279
765	43294	13225
766	43353	13169
767	43422	13117
768	43506	13068
769	43561	13011
770	43628	12958
771	43700	12906
772	43771	12854
773	43825	12796
774	43919	12750
775	43991	12698
776	44049	12642
777	44128	12592
778	44229	12547
779	44288	12491
780	44361	12439
781	44420	12383
782	44491	12330
783	44553	12274
784	44604	12216
785	44731	12178
786	44753	12112
787	44776	12046
788	44799	11980
789	44822	11914
790	44840	1184790	49481	13074
791	49537	13009
792	49617	12951
793	49733	12903
794	49859	12856
795	50135	12848
796	50300	12811
797	50401	12758
798	50531	12712
799	50605	12651
800	50649	12583
801	50667	12509
802	50686	12434
803	50705	12361
804	50725	12287
805	50744	12213
806	50763	12140
